"Source","Deviance","PropDev"
"Origin","472.6","0.703409885841011"
"Canopy","8.19799999999998","0.0122017652224388"
"Stand","25.6880000000001","0.0382335868546"
"Understory","0.00200000000006639","2.97676633882506e-06"
"Origin:Stand","153.182","0.227993510649382"
"Canopy:Stand","5.86599999999999","0.00873085567148405"
"Stand:Understory","1.37799999999993","0.00205099200738228"
"Origin:Canopy","1.4860000000001","0.00221173738967375"
"Origin:Understory","0.0199999999999818","2.97676633872353e-05"
"Canopy:Understory","1.75","0.00260467054638546"
"Canopy:Stand:Understory","1.69999999999993","0.0025302513879172"
